time,qtr,date,year,yearqtr,price,trend
1,1,"1/3/1994",1994,"1994Q1",.992,1
2,2,"4/4/1994",1994,"1994Q2",1.011,2
3,3,"7/4/1994",1994,"1994Q3",1.097,3
4,4,"10/3/1994",1994,"1994Q4",1.12,4
5,1,"1/2/1995",1995,"1995Q1",1.127,5
6,2,"4/3/1995",1995,"1995Q2",1.133,6
7,3,"7/3/1995",1995,"1995Q3",1.222,7
8,4,"10/2/1995",1995,"1995Q4",1.151,8
9,1,"1/1/1996",1996,"1996Q1",1.129,9
10,2,"4/1/1996",1996,"1996Q2",1.223,10
11,3,"7/1/1996",1996,"1996Q3",1.279,11
12,4,"10/7/1996",1996,"1996Q4",1.239,12
13,1,"1/6/1997",1997,"1997Q1",1.272,13
14,2,"4/7/1997",1997,"1997Q2",1.248,14
15,3,"7/7/1997",1997,"1997Q3",1.222,15
16,4,"10/6/1997",1997,"1997Q4",1.254,16
17,1,"1/5/1998",1998,"1998Q1",1.148,17
18,2,"4/6/1998",1998,"1998Q2",1.074,18
19,3,"7/6/1998",1998,"1998Q3",1.097,19
20,4,"10/5/1998",1998,"1998Q4",1.059,20
21,1,"1/4/1999",1999,"1999Q1",.977,21
22,2,"4/5/1999",1999,"1999Q2",1.158,22
23,3,"7/5/1999",1999,"1999Q3",1.165,23
24,4,"10/4/1999",1999,"1999Q4",1.296,24
25,1,"1/3/2000",2000,"2000Q1",1.312,25
26,2,"4/3/2000",2000,"2000Q2",1.543,26
27,3,"7/3/2000",2000,"2000Q3",1.661,27
28,4,"10/2/2000",2000,"2000Q4",1.563,28
29,1,"1/1/2001",2001,"2001Q1",1.446,29
30,2,"4/2/2001",2001,"2001Q2",1.482,30
31,3,"7/2/2001",2001,"2001Q3",1.52,31
32,4,"10/1/2001",2001,"2001Q4",1.455,32
33,1,"1/7/2002",2002,"2002Q1",1.152,33
34,2,"4/1/2002",2002,"2002Q2",1.412,34
35,3,"7/1/2002",2002,"2002Q3",1.433,35
36,4,"10/7/2002",2002,"2002Q4",1.48,36
37,1,"1/6/2003",2003,"2003Q1",1.487,37
38,2,"4/7/2003",2003,"2003Q2",1.673,38
39,3,"7/7/2003",2003,"2003Q3",1.53,39
40,4,"10/6/2003",2003,"2003Q4",1.617,40
